model,cue,A1,A2,A3
gemma3:27b,becoming,transforming,evolving,change
gemma3:27b,archeology,dig,history,artifacts
gemma3:27b,joker,clown,trick,laughter
gemma3:27b,hurtful,pain,sadness,anger
gemma3:27b,nacho,cheese,dip,spicy
gemma3:27b,unsafe,danger,risk,precarious
gemma3:27b,hummingbird,nectar,wings,flight
gemma3:27b,coast,beach,ocean,sand
gemma3:27b,immature,childish,naive,foolish
gemma3:27b,ligament,joint,tissue,connective
gemma3:27b,shield,protection,defense,armor
gemma3:27b,vegetarian,plant,healthy,salad
gemma3:27b,parcel,delivery,package,mail
gemma3:27b,madly,passionately,insanely,furiously
gemma3:27b,flunk,fail,disappoint,repeat
gemma3:27b,traveler,journey,explore,wander
gemma3:27b,bubble gum,sweet,pink,chewy
gemma3:27b,expel,remove,eject,banish
gemma3:27b,leaning,support,balance,gravity
gemma3:27b,juicer,orange,fruit,kitchen
gemma3:27b,hovercraft,vehicle,air,cushion
gemma3:27b,fabric,cloth,texture,sewing
gemma3:27b,captivity,imprisonment,freedom,sadness
gemma3:27b,lamb,sheep,wool,pasture
gemma3:27b,failure,defeat,disappointment,learning
gemma3:27b,balls,sports,games,play
gemma3:27b,governance,leadership,policy,regulation
gemma3:27b,electricity,power,current,spark
gemma3:27b,celebrity,famous,wealth,glamour
gemma3:27b,masturbate,sex,intimacy,pleasure
gemma3:27b,extroverted,outgoing,social,energetic
gemma3:27b,breed,animal,progeny,variety
gemma3:27b,frustrated,angry,disappointed,upset
gemma3:27b,goodwill,charity,kindness,generosity
gemma3:27b,dialogue,conversation,exchange,words
gemma3:27b,unrealistic,imaginary,fantasy,impossible
gemma3:27b,hobble,limp,walk,struggle
gemma3:27b,unripe,green,sour,bitter
gemma3:27b,boxer,fight,gloves,champion
gemma3:27b,laborer,worker,effort,toil
gemma3:27b,atheism,disbelief,skepticism,reason
gemma3:27b,autumn,leaves,crisp,golden
gemma3:27b,repress,suppress,control,silence
gemma3:27b,sweatshop,exploitation,labor,poverty
gemma3:27b,veer,swerve,drift,change
gemma3:27b,mystical,magic,spiritual,enchanting
gemma3:27b,redwood,forest,giant,ancient
gemma3:27b,gods,religion,mythology,power
gemma3:27b,elbow,bend,arm,joint
gemma3:27b,sterile,clean,hospital,medical
gemma3:27b,mailbox,letters,post,delivery
gemma3:27b,rundown,shabby,decrepit,dilapidated
gemma3:27b,execute,implement,command,finish
gemma3:27b,hitchhike,travel,thumb,road
gemma3:27b,intoxicate,alcohol,drunkenness,inebriate
gemma3:27b,complete,finish,total,entire
gemma3:27b,vomit,sick,nausea,disgust
gemma3:27b,civilization,culture,society,progress
gemma3:27b,let,allow,permission,enable
gemma3:27b,gifted,talented,intelligent,creative
gemma3:27b,whiskers,cat,feline,mustache
gemma3:27b,lore,wisdom,history,mythology
gemma3:27b,Norway,Fjords,Vikings,Cold
gemma3:27b,petrol,fuel,car,engine
gemma3:27b,Islam,Allah,Mosque,Faith
gemma3:27b,mitten,winter,warm,wool
gemma3:27b,cozy,warm,home,comfort
gemma3:27b,hum,song,melody,tune
gemma3:27b,head,brain,thought,skull
gemma3:27b,mints,fresh,breath,cool
gemma3:27b,increasing,growing,expanding,progressing
gemma3:27b,chauffeur,driver,luxury,vehicle
gemma3:27b,constant,steady,reliable,forever
gemma3:27b,zeal,passion,ardor,enthusiasm
gemma3:27b,periscope,submarine,view,ocean
gemma3:27b,oddity,peculiarity,anomaly,strange
gemma3:27b,monotonous,dull,repetitive,tedious
gemma3:27b,stupid,foolish,dumb,silly
gemma3:27b,hers,possessive,ownership,belongings
gemma3:27b,scribe,writer,pen,ink
gemma3:27b,campfire,warmth,stories,embers
gemma3:27b,cartoon,funny,animation,drawing
gemma3:27b,contempt,disgust,scorn,hatred
gemma3:27b,cactus,desert,prickly,green
gemma3:27b,fad,trend,temporary,obsolete
gemma3:27b,since,because,time,therefore
gemma3:27b,tom,cat,boy,cruise
gemma3:27b,devil,evil,red,hell
gemma3:27b,tuba,brass,music,large
gemma3:27b,algae,green,ocean,growth
gemma3:27b,crows,black,birds,ominous
gemma3:27b,cooler,ice,water,refreshing
gemma3:27b,martial art,karate,dojo,sparring
gemma3:27b,medic,doctor,hospital,health
gemma3:27b,pesky,annoying,irritating,nuisance
gemma3:27b,stretch,limber,yoga,rubber
gemma3:27b,thrifty,economical,frugal,saving
gemma3:27b,amass,collect,wealth,hoard
gemma3:27b,flawed,imperfect,broken,faulty
gemma3:27b,term,contract,definition,vocabulary
