model,cue,A1,A2,A3
gemma3:1b,becoming,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,archeology,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,joker,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hurtful,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,nacho,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,unsafe,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hummingbird,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,coast,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,immature,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,ligament,strongest,tissue,bone
gemma3:1b,shield,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,vegetarian,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,parcel,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,madly,strongest,love,time
gemma3:1b,flunk,strongest,difficult,failure
gemma3:1b,traveler,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,bubble gum,strongest,sweet,sticky
gemma3:1b,expel,strongest,evasion,escape
gemma3:1b,leaning,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,juicer,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hovercraft,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,fabric,strongest,texture,color
gemma3:1b,captivity,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,lamb,lamb,sheep,wool
gemma3:1b,failure,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,balls,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,governance,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,electricity,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,celebrity,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,masturbate,strongest,sexual,act
gemma3:1b,extroverted,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,breed,strongest,dog,cat
gemma3:1b,frustrated,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,goodwill,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,dialogue,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,unrealistic,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hobble,strongest,walking,slowly
gemma3:1b,unripe,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,boxer,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,laborer,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,atheism,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,autumn,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,repress,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,sweatshop,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,veer,strongest,power,impact
gemma3:1b,mystical,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,redwood,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,gods,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,elbow,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,sterile,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,mailbox,strongest,mail,mail
gemma3:1b,rundown,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,execute,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hitchhike,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,intoxicate,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,complete,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,vomit,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,civilization,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,let,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,gifted,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,whiskers,Invalid Response,Invalid Response,Invalid Response
