model,cue,A1,A2,A3
gemma3:12b,becoming,change,growth,future
gemma3:12b,archeology,history,excavation,artifacts
gemma3:12b,joker,laugh,trick,chaos
gemma3:12b,hurtful,pain,anger,sad
gemma3:12b,nacho,cheese,chips,salsa
gemma3:12b,unsafe,danger,hazard,risk
gemma3:12b,hummingbird,wings,flower,small
gemma3:12b,coast,beach,water,sand
gemma3:12b,immature,childish,naive,youthful
gemma3:12b,ligament,tissue,joint,tendon
gemma3:12b,shield,armor,guard,protect
gemma3:12b,vegetarian,plant,food,green
gemma3:12b,parcel,package,delivery,post
gemma3:12b,madly,quickly,passion,wildly
gemma3:12b,flunk,fail,miss,drop
gemma3:12b,traveler,wander,journey,explorer
gemma3:12b,bubble gum,sweet,pink,chew
gemma3:12b,expel,reject,banish,remove
gemma3:12b,leaning,slope,tilt,support
gemma3:12b,juicer,fruit,orange,smoothie
gemma3:12b,hovercraft,water,craft,float
gemma3:12b,fabric,cloth,weave,seam
gemma3:12b,captivity,prison,cage,bondage
gemma3:12b,lamb,wool,sheep,fleece
gemma3:12b,failure,defeat,loss,sadness
gemma3:12b,balls,round,bounce,sport
gemma3:12b,governance,policy,control,rules
gemma3:12b,electricity,power,light,charge
gemma3:12b,celebrity,fame,actor,money
gemma3:12b,masturbate,pleasure,alone,sex
gemma3:12b,extroverted,social,happy,outgoing
gemma3:12b,breed,genes,animal,family
gemma3:12b,frustrated,angry,vexed,annoyed
gemma3:12b,goodwill,charity,kindness,benevolence
gemma3:12b,dialogue,speak,listen,conversation
gemma3:12b,unrealistic,fantasy,fiction,dream
gemma3:12b,hobble,limp,walk,stumble
gemma3:12b,unripe,green,sour,hard
gemma3:12b,boxer,fight,punch,gloves
gemma3:12b,laborer,work,sweat,toil
gemma3:12b,atheism,belief,doubt,reason
gemma3:12b,autumn,leaves,orange,crisp
gemma3:12b,repress,restrain,control,subdue
gemma3:12b,sweatshop,labor,oppression,poverty
gemma3:12b,veer,turn,sway,shift
gemma3:12b,mystical,magic,dream,vision
gemma3:12b,redwood,tree,tall,forest
gemma3:12b,gods,myth,power,divine
gemma3:12b,elbow,arm,joint,bend
gemma3:12b,sterile,clean,pure,cold
gemma3:12b,mailbox,letters,house,mail
gemma3:12b,rundown,summary,report,overview
gemma3:12b,execute,action,order,begin
gemma3:12b,hitchhike,travel,thumb,road
gemma3:12b,intoxicate,drunk,happy,blur
gemma3:12b,complete,finish,end,done
gemma3:12b,vomit,sick,retch,waste
gemma3:12b,civilization,society,culture,progress
gemma3:12b,let,allow,permit,freedom
gemma3:12b,gifted,smart,talented,bright
gemma3:12b,whiskers,cat,mouse,face
gemma3:12b,lore,myth,legend,history
gemma3:12b,Norway,Fjords,Winter,Oslo
gemma3:12b,petrol,fuel,car,drive
gemma3:12b,Islam,Faith,Peace,God
gemma3:12b,mitten,cold,glove,snow
gemma3:12b,cozy,warm,soft,safe
gemma3:12b,hum,music,drone,buzz
gemma3:12b,head,brain,hair,face
gemma3:12b,mints,fresh,cool,sweet
gemma3:12b,increasing,growth,rising,better
gemma3:12b,chauffeur,car,driver,vehicle
gemma3:12b,constant,stable,fixed,steady
gemma3:12b,zeal,passion,energy,drive
gemma3:12b,periscope,ocean,submarine,view
gemma3:12b,oddity,strange,weird,unique
gemma3:12b,monotonous,tedious,dull,static
gemma3:12b,stupid,fool,idiot,dumb
gemma3:12b,hers,she,mine,own
gemma3:12b,scribe,write,pen,author
gemma3:12b,campfire,warmth,smoke,night
gemma3:12b,cartoon,funny,comic,child
gemma3:12b,contempt,scorn,disdain,loathing
gemma3:12b,cactus,prickly,desert,plant
gemma3:12b,fad,trend,style,brief
gemma3:12b,since,because,after,then
gemma3:12b,tom,cat,boy,mouse
gemma3:12b,devil,evil,hell,sin
gemma3:12b,tuba,brass,music,instrument
gemma3:12b,algae,green,pond,water
gemma3:12b,crows,black,birds,fly
gemma3:12b,cooler,fridge,cold,drink
gemma3:12b,martial art,combat,karate,ninja
gemma3:12b,medic,health,doctor,nurse
gemma3:12b,pesky,annoy,irritate,bother
gemma3:12b,stretch,expand,grow,tense
gemma3:12b,thrifty,saving,frugal,cheap
gemma3:12b,amass,gather,hoard,accumulate
gemma3:12b,flawed,broken,faulty,bad
gemma3:12b,term,concept,define,phrase
