model,cue,A1,A2,A3
gemma3:4b,becoming,growth,change,progress
gemma3:4b,archeology,digs,history,excavation
gemma3:4b,joker,card,laugh,risk
gemma3:4b,hurtful,pain,suffering,wounds
gemma3:4b,nacho,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,unsafe,danger,risk,hazard
gemma3:4b,hummingbird,flight,color,beauty
gemma3:4b,coast,ocean,beach,sand
gemma3:4b,immature,childhood,youth,adolescent
gemma3:4b,ligament,bone,joint,tissue
gemma3:4b,shield,defense,protection,security
gemma3:4b,vegetarian,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,parcel,shipping,delivery,package
gemma3:4b,madly,chaos,panic,frustration
gemma3:4b,flunk,failure,disappointment,regret
gemma3:4b,traveler,journey,adventure,exploration
gemma3:4b,bubble gum,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,expel,force,remove,discard
gemma3:4b,leaning,balance,stability,support
gemma3:4b,juicer,orange,fruit,machine
gemma3:4b,hovercraft,water,vehicle,surface
gemma3:4b,fabric,cotton,thread,material
gemma3:4b,captivity,prison,cage,restriction
gemma3:4b,lamb,meat,sheep,innocence
gemma3:4b,failure,defeat,loss,sadness
gemma3:4b,balls,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,governance,leadership,authority,control
gemma3:4b,electricity,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,celebrity,fame,publicity,influence
gemma3:4b,masturbate,pleasure,sex,shame
gemma3:4b,extroverted,social,outgoing,friendly
gemma3:4b,breed,dog,animal,species
gemma3:4b,frustrated,anger,irritation,resentment
gemma3:4b,goodwill,kindness,benevolence,generosity
gemma3:4b,dialogue,conversation,speaking,words
gemma3:4b,unrealistic,fantasy,dreamy,illusion
gemma3:4b,hobble,limp,pain,struggle
gemma3:4b,unripe,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,boxer,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,laborer,work,sweat,effort
gemma3:4b,atheism,belief,doubt,reason
gemma3:4b,autumn,fall,leaves,harvest
gemma3:4b,repress,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,sweatshop,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,veer,turn,shift,deviation
gemma3:4b,mystical,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,redwood,forest,trees,nature
gemma3:4b,gods,religion,divinity,faith
gemma3:4b,elbow,bend,joint,curve
gemma3:4b,sterile,clean,hospital,disinfectant
gemma3:4b,mailbox,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,rundown,collapse,failure,debris
gemma3:4b,execute,action,command,order
gemma3:4b,hitchhike,travel,adventure,journey
gemma3:4b,intoxicate,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,complete,finish,end,achieve
gemma3:4b,vomit,nausea,regret,illness
gemma3:4b,civilization,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,let,rain,storm,weather
gemma3:4b,gifted,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,whiskers,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,lore,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,Norway,fjord,mountains,people
gemma3:4b,petrol,fuel,gas,engine
gemma3:4b,Islam,Faith,Religion,Belief
gemma3:4b,mitten,winter,gloves,warm
gemma3:4b,cozy,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,hum,music,sound,vibration
gemma3:4b,head,brain,skull,neck
gemma3:4b,mints,fresh,cool,clean
gemma3:4b,increasing,growth,expansion,progress
gemma3:4b,chauffeur,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,constant,stability,firmness,steadiness
gemma3:4b,zeal,passion,energy,inspiration
gemma3:4b,periscope,submarine,binoculars,observation
gemma3:4b,oddity,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,monotonous,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,stupid,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,hers,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,scribe,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,campfire,warmth,smell,stories
gemma3:4b,cartoon,animation,drawing,character
gemma3:4b,contempt,disrespect,scorn,disdain
gemma3:4b,cactus,desert,prickly,arid
gemma3:4b,fad,death,loss,memory
gemma3:4b,since,time,result,perhaps
gemma3:4b,tom,father,name,child
gemma3:4b,devil,sin,darkness,chaos
gemma3:4b,tuba,brass,instrument,music
gemma3:4b,algae,green,ocean,photosynthesis
gemma3:4b,crows,darkness,death,ominous
gemma3:4b,cooler,ice,cold,refresh
gemma3:4b,martial art,combat,discipline,training
gemma3:4b,medic,hospital,doctor,nurse
gemma3:4b,pesky,irritation,annoyance,nuisance
gemma3:4b,stretch,elongation,flexibility,recovery
gemma3:4b,thrifty,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,amass,wealth,money,growth
gemma3:4b,flawed,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,term,definition,meaning,concept
